,address1,address2,applcBeDt,applcEnDt,buldNm,elevatorNo,elvtrAsignNo,elvtrDetailForm,elvtrDiv,elvtrForm,elvtrKindNm,elvtrSttsNm,frstInstallationDe,inspctInsttNm,installationDe,installationPlace,liveLoad,mnfcturcpnynm,ratedCap,ratedSpeed,shuttleFloorCnt,sido,sigungu
89,서울특별시 강남구 도곡로 320,(도곡동),20240204,20250203,래미안도곡카운티,0056915,5,VVVF,엘리베이터,권상식,소방구조/장애인용,운행중,20120727,서울강남지사,20120727,103-1,1000,한국미쓰비시엘리베이터(주)(인천),15,1.75,23,서울,강남구
90,서울특별시 강남구 도곡로 320,(도곡동),20240204,20250203,래미안도곡카운티,0056921,11,VVVF,엘리베이터,권상식,소방구조/장애인용,운행중,20121005,서울강남지사,20121005,107,1150,한국미쓰비시엘리베이터(주)(인천),17,1.75,21,서울,강남구
91,서울특별시 강남구 도곡로 320,(도곡동),20240204,20250203,래미안도곡카운티,0056923,13,VVVF,엘리베이터,권상식,소방구조/장애인용,운행중,20120801,서울강남지사,20120801,108-2,1150,한국미쓰비시엘리베이터(주)(인천),17,1.75,23,서울,강남구
92,서울특별시 강남구 도산대로50길 5,(논현동),20240403,20260402,신비주주,1901819,1,교류,소형화물용엘리베이터,권상식,덤웨이터,운행중,20120216,서울강남지사,20120216,1-1,80,(주)태양승강기_폐업,0.45,3,서울,강남구,
93,서울특별시 강남구 선릉로112길 86,(삼성동),20230925,20240924,JIS빌딩,0071879,1,VVVF,엘리베이터,권상식,승객용,운행중,20100929,서울강남지사,20100929,1-1,550,현대엘리베이터(주),8,1,5,서울,강남구
94,서울특별시 강남구 논현로 656,(논현동),20240410,20250409,유건빌딩,0089838,1,VVVF,엘리베이터,권상식,승객용,운행중,20131125,서울강남지사,20131125,1-1,1000,현대엘리베이터(주),15,1.5,12,서울,강남구
95,서울특별시 강남구 삼성로135길 42,(청담동),20231004,20241003,서울언북초등학교,0066908,3,VVVF,엘리베이터,권상식,장애인용,운행중,20071018,서울강남지사,20071018,복지센터-2,1150,현대엘리베이터(주),17,1,3,서울,강남구
96,서울특별시 강남구 테헤란로14길 13,(역삼동),20240411,20250410,이스턴아이,0072929,2,VVVF,엘리베이터,권상식,장애인용,운행중,20140214,서울강남지사,20140214,1-2,1000,현대엘리베이터(주),15,1.5,8,서울,강남구
97,서울특별시 강남구 강남대로132길 53,(논현동),20240306,20250305,성신빌딩,0010464,1,VVVF,엘리베이터,권상식,전망용,운행중,20070306,서울강남지사,20070306,1-1,750,오티스엘리베이터(유)창원공장,11,1,7,서울,강남구
98,서울특별시 강남구 테헤란로14길 13,(역삼동),20240411,20250410,이스턴아이,0072645,1,VVVF,엘리베이터,권상식,소방구조/장애인용,운행중,20140225,서울강남지사,20140225,1-1,1000,현대엘리베이터(주),15,1.5,16,서울,강남구
